,SKU,0
122,BTM021-XL,312.5599999999995
3908,SET228-KR-PP-L,312.35000000000036
3901,SET227-KR-PP-L,312.10000000000036
3909,SET228-KR-PP-M,312.0
2036,JNE3501-KR-L,311.0
3952,SET236-KR-PP-S,310.0
2621,JNE3672-TU-M,309.60000000000036
2240,JNE3567-KR-XL,309.0
729,J0138-KR-XL,308.80999999999995
4107,SET268-KR-NP-XS,304.0
2147,JNE3548-KR-S,304.0
2238,JNE3567-KR-M,303.5
2150,JNE3548-KR-XXL,303.0
2237,JNE3567-KR-L,303.0
186,BTM039-PP-XXXL,300.0
124,BTM021-XXL,299.0599999999995
2200,JNE3560-KR-XXL,296.5
1160,J0244-SKD-XL,296.3499999999999
228,BTM047-PP-L,296.1900000000005
193,BTM040-PP-XXXL,296.1900000000005
233,BTM047-PP-XXL,296.1900000000005
234,BTM047-PP-XXXL,296.1900000000005
222,BTM046-PP-L,295.5
3218,KURTI,295.35000000000036
3656,SET110-KR-PP-XS,294.25
2330,JNE3609-KR-XL,293.2000000000007
2516,JNE3649-TP-M,292.0
2580,JNE3665-TP-M,292.0
2515,JNE3649-TP-L,291.8499999999999
2581,JNE3665-TP-S,291.5
3679,SET144-KR-NP-M,291.25
3678,SET144-KR-NP-L,291.25
2688,JNE3686-TU-XL,290.9500000000007
141,BTM029-NP-XXXL,290.0
1672,JNE3273-KR-XXL,289.7000000000007
3067,JNE3790-KR-XL,289.5
3064,JNE3790-KR-L,289.5
2084,JNE3523-KR-L,286.7000000000007
2085,JNE3523-KR-M,286.7000000000007
2087,JNE3523-KR-XL,286.35000000000036
2590,JNE3667-TP-L,284.5
2595,JNE3667-TP-XXL,284.5
1915,JNE3440-KR-XXL,283.630000000001
135,BTM027-NP-XXL,283.0599999999995
142,BTM030-NP-L,283.0599999999995
136,BTM027-NP-XXXL,283.0599999999995
147,BTM030-NP-XXL,283.0599999999995
145,BTM030-NP-XL,283.0599999999995
148,BTM030-NP-XXXL,283.0599999999995
262,CMB5-JNE3843,282.0
265,CMB5-JNE3846,282.0
263,CMB5-JNE3844,282.0
264,CMB5-JNE3845,282.0
260,CMB5-JNE3839,282.0
261,CMB5-JNE3840,282.0
434,J0057-DR-XXL,280.0
925,J0186-SET-M,279.97000000000025
924,J0186-SET-L,279.30999999999995
927,J0186-SET-XL,279.30999999999995
1525,JNE2100-KR-144-XXL,278.0
4140,SET275-KR-NP-M,277.75
4142,SET275-KR-NP-XL,277.5
2019,JNE3489-KR-S,276.10000000000036
2625,JNE3672-TU-XXL,275.35000000000036
1727,JNE3366-KR-1053-L,275.0
2017,JNE3489-KR-L,274.75
2838,JNE3722-KR-XXL,273.75
801,J0154-DR-S,273.69000000000005
2020,JNE3489-KR-XL,273.25
2018,JNE3489-KR-M,273.25
474,J0084-TP-S,272.69000000000005
2078,JNE3522-KR-M,272.0
2077,JNE3522-KR-L,272.0
3795,SET197-KR-NP-L,270.25
140,BTM029-NP-XXL,269.85000000000036
2312,JNE3605-KR-S,268.60000000000036
543,J0098-TP-L,267.90999999999985
544,J0098-TP-M,267.4100000000003
546,J0098-TP-XL,267.4100000000003
4189,SET287-KR-NP-L,266.75
631,J0119-TP-M,266.0
1549,JNE2170-KR-436-M,265.10000000000036
331,J0009-SKD-XXL,263.9400000000005
2836,JNE3722-KR-XL,263.75
1001,J0202-TP-S,260.3499999999999
2593,JNE3667-TP-XL,259.10000000000036
2037,JNE3501-KR-M,259.0
3953,SET236-KR-PP-XL,258.0
3951,SET236-KR-PP-M,258.0
2197,JNE3560-KR-S,256.5
3562,SET038-KR-PP-XL,256.5
237,BTM048-PP-XXL,256.0
211,BTM044-PP-L,256.0
212,BTM044-PP-XL,256.0
213,BTM044-PP-XXL,256.0
214,BTM044-PP-XXXL,256.0
238,BTM048-PP-XXXL,255.0
236,BTM048-PP-XL,255.0
187,BTM040-PP-L,254.1900000000005
2209,JNE3562-KR-M,253.75
225,BTM046-PP-XL,253.5
1029,J0208-DR-XL,251.0
2964,JNE3759-KR-S,250.0
2963,JNE3759-KR-M,250.0
2962,JNE3759-KR-L,250.0
3645,SET098-KR-PP-XXXL,249.75
1238,J0283-SET-XXL,249.35000000000036
1213,J0279-SET-L,249.04999999999927
1153,J0243-DR-S,249.04999999999927
1236,J0283-SET-S,249.04999999999927
1154,J0243-DR-XL,248.70000000000073
119,BTM021-L,248.5599999999995
405,J0035-KR-S,248.0
4132,SET273-KR-NP-S,247.0
3796,SET197-KR-NP-M,246.0
3093,JNE3798-KR-XL,245.0
4186,SET286-KR-NP-XL,245.0
3573,SET044-KR-NP-M,245.0
4511,SET380-KR-NP-S,244.0
4509,SET380-KR-NP-L,244.0
4510,SET380-KR-NP-M,244.0
4512,SET380-KR-NP-XL,244.0
4514,SET380-KR-NP-XXL,244.0
1526,JNE2100-KR-144-XXXL,243.0
2134,JNE3546-KR-XL,241.0
3849,SET210-KR-PP-XXL,240.0
431,J0057-DR-L,240.0
432,J0057-DR-M,240.0
433,J0057-DR-XL,240.0
3847,SET210-KR-PP-S,240.0
1667,JNE3273-KR-L,239.04999999999927
461,J0081-DR-XL,238.51000000000022
3888,SET224-KR-NP-XXL,238.5
2481,JNE3640-TP-S,237.25
955,J0194-DR-L,237.0
4434,SET348-KR-NP-S,236.0
4432,SET348-KR-NP-L,236.0
4435,SET348-KR-NP-XL,236.0
3930,SET232-KR-PP-L,235.75
3681,SET144-KR-NP-XL,235.25
3680,SET144-KR-NP-S,235.25
1444,J0382-SKD-M,234.0
1730,JNE3366-KR-1053-XL,233.0
2131,JNE3546-KR-L,232.0
2132,JNE3546-KR-M,232.0
2133,JNE3546-KR-S,232.0
368,J0021-TP-XL,229.0
3537,SAR086,229.0
3536,SAR079,229.0
592,J0110-SKD-XXL,228.35000000000036
524,J0094-KR-XL,227.0
1522,JNE2100-KR-144-S,226.25
1668,JNE3273-KR-M,226.04999999999927
1669,JNE3273-KR-S,226.04999999999927
656,J0123-TP-M,226.0
1670,JNE3273-KR-XL,225.69999999999982
267,CMB5-JNE3848,225.0
1025,J0207-DR-XXL,225.0
268,CMB5-JNE3849,225.0
3904,SET227-KR-PP-XL,221.5
628,J0118-TP-XXL,220.03999999999996
139,BTM029-NP-XL,219.5
2463,JNE3637-KR-XL,219.0
2460,JNE3637-KR-L,218.85000000000036
2462,JNE3637-KR-S,218.75
2461,JNE3637-KR-M,218.5
3896,SET226-KR-PP-L,218.39999999999964
3897,SET226-KR-PP-M,218.39999999999964
3898,SET226-KR-PP-XL,218.39999999999964
369,J0021-TP-XXL,218.0
370,J0021-TP-XXXL,218.0
365,J0021-TP-L,218.0
3563,SET038-KR-PP-XS,217.75
2242,JNE3567-KR-XXL,217.5
3798,SET197-KR-NP-XL,217.25
